image_name,tags
test_0,primary clear
test_1,primary clear
test_2,primary partly_cloudy
test_3,primary
test_4,cloudy
test_5,primary clear
test_6,habitation
test_7,primary clear road
test_8,primary clear
test_9,primary
test_10,primary partly_cloudy
test_11,cultivation
test_12,cloudy
test_13,primary clear
test_14,primary clear
test_15,primary clear
test_16,habitation
test_17,primary
test_18,primary clear
test_19,primary clear water
test_20,primary clear water
test_21,primary clear water
test_22,agriculture road
test_23,cloudy
test_24,primary agriculture partly_cloudy
test_25,primary clear
test_26,agriculture road
test_27,primary agriculture clear
test_28,agriculture road
test_29,primary clear
test_30,primary partly_cloudy
test_31,cloudy
test_32,primary clear
test_33,primary agriculture
test_34,cloudy
test_35,primary clear
test_36,primary clear
test_37,primary clear
test_38,primary clear
test_39,primary clear
test_40,primary clear water
test_41,primary partly_cloudy
test_42,primary clear
test_43,primary clear
test_44,primary agriculture clear
test_45,haze primary
test_46,primary water
test_47,primary clear
test_48,primary clear
test_49,primary water
test_50,primary clear
test_51,clear water
test_52,agriculture habitation
test_53,water
test_54,primary clear
test_55,primary partly_cloudy
test_56,primary clear
test_57,primary clear
test_58,primary clear
test_59,primary clear water
test_60,primary clear
test_61,cloudy
test_62,primary clear
test_63,primary clear
test_64,primary clear
test_65,primary clear
test_66,primary clear
test_67,habitation road
test_68,cloudy
test_69,primary clear
test_70,primary clear
test_71,primary partly_cloudy
test_72,road
test_73,primary water
test_74,primary partly_cloudy
test_75,primary agriculture
test_76,primary clear
test_77,primary clear
test_78,primary clear
test_79,primary agriculture clear
test_80,cloudy
test_81,cloudy
test_82,agriculture
test_83,primary clear
test_84,clear habitation
test_85,primary clear road
test_86,primary clear
test_87,primary partly_cloudy
test_88,primary agriculture
test_89,cloudy
test_90,cloudy
test_91,agriculture cultivation
test_92,cloudy
test_93,primary clear
test_94,primary clear
test_95,agriculture
test_96,primary partly_cloudy
test_97,primary clear
test_98,primary partly_cloudy
test_99,cloudy
test_100,primary clear
test_101,primary agriculture
test_102,primary clear
test_103,primary clear
test_104,partly_cloudy
test_105,primary clear
test_106,haze primary
test_107,primary clear
test_108,road partly_cloudy
test_109,primary partly_cloudy
test_110,primary partly_cloudy
test_111,primary partly_cloudy
test_112,primary partly_cloudy
test_113,primary clear
test_114,primary agriculture
test_115,primary clear cultivation
test_116,primary partly_cloudy
test_117,primary clear water
test_118,clear habitation
test_119,primary clear
test_120,primary
test_121,primary clear
test_122,primary clear
test_123,partly_cloudy
test_124,primary clear
test_125,primary partly_cloudy
test_126,primary agriculture clear
test_127,cloudy
test_128,primary clear
test_129,primary clear
test_130,primary clear
test_131,primary clear
test_132,primary clear
test_133,agriculture cultivation
test_134,primary agriculture clear
test_135,primary clear road
test_136,primary clear
test_137,cultivation
test_138,primary partly_cloudy
test_139,primary clear
test_140,primary agriculture clear
test_141,primary clear
test_142,primary clear
test_143,agriculture road
test_144,haze primary
test_145,primary clear
test_146,primary partly_cloudy
test_147,primary clear
test_148,primary partly_cloudy
test_149,primary partly_cloudy
test_150,primary clear cultivation
test_151,primary clear water
test_152,clear road
test_153,primary clear
test_154,primary clear
test_155,primary clear
test_156,primary partly_cloudy
test_157,primary clear water
test_158,primary clear
test_159,primary agriculture partly_cloudy
test_160,haze primary
test_161,primary clear
test_162,water cloudy
test_163,partly_cloudy
test_164,haze primary
test_165,primary partly_cloudy
test_166,primary clear
test_167,primary clear
test_168,primary clear
test_169,partly_cloudy
test_170,primary agriculture
test_171,clear water
test_172,cloudy
test_173,primary clear
test_174,primary clear
test_175,primary clear
test_176,partly_cloudy
test_177,primary partly_cloudy
test_178,haze primary
test_179,bare_ground
test_180,primary partly_cloudy
test_181,primary clear
test_182,primary partly_cloudy
test_183,haze primary
test_184,primary clear
test_185,primary partly_cloudy
test_186,primary agriculture clear
test_187,primary partly_cloudy
test_188,primary clear
test_189,primary agriculture
test_190,primary
test_191,primary clear
test_192,primary clear
test_193,primary clear
test_194,primary agriculture clear road
test_195,water
test_196,primary clear
test_197,primary clear
test_198,primary
test_199,primary agriculture clear
test_200,primary clear
test_201,haze
test_202,primary clear water
test_203,water cloudy
test_204,agriculture cultivation
test_205,primary clear
test_206,primary clear
test_207,primary clear
test_208,water
test_209,primary clear
test_210,primary clear
test_211,agriculture clear road
test_212,primary water partly_cloudy
test_213,primary agriculture clear
test_214,partly_cloudy
test_215,primary clear
test_216,primary clear
test_217,primary clear
test_218,agriculture
test_219,primary clear
test_220,cloudy
test_221,primary clear
test_222,cloudy
test_223,primary clear
test_224,primary clear habitation
test_225,primary clear
test_226,primary clear
test_227,primary water
test_228,primary water
test_229,agriculture clear habitation
test_230,primary agriculture
test_231,primary partly_cloudy
test_232,haze primary
test_233,primary clear
test_234,primary clear
test_235,primary clear
test_236,primary clear
test_237,primary partly_cloudy
test_238,conventional_mine
test_239,cultivation
test_240,road
test_241,primary road partly_cloudy
test_242,primary clear water
test_243,primary water
test_244,primary clear
test_245,primary clear
test_246,primary clear
test_247,primary clear
test_248,habitation
test_249,water road
test_250,clear road
test_251,clear habitation road
test_252,primary clear water
test_253,primary partly_cloudy
test_254,primary clear
test_255,primary clear
test_256,primary clear
test_257,primary road
test_258,primary clear
test_259,water
test_260,haze primary
test_261,primary clear
test_262,agriculture clear
test_263,primary clear
test_264,primary
test_265,primary partly_cloudy
test_266,primary agriculture
test_267,primary clear
test_268,primary agriculture clear
test_269,primary agriculture
test_270,water
test_271,primary clear
test_272,primary agriculture road
test_273,clear water
test_274,primary clear
test_275,haze primary
test_276,agriculture
test_277,haze primary agriculture
test_278,primary clear
test_279,primary partly_cloudy
test_280,primary
test_281,primary agriculture clear
test_282,primary agriculture clear
test_283,primary clear
test_284,primary clear
test_285,agriculture clear
test_286,primary
test_287,primary clear
test_288,primary clear
test_289,clear water
test_290,primary clear
test_291,primary agriculture clear
test_292,primary clear
test_293,primary agriculture
test_294,primary clear
test_295,primary clear
test_296,primary partly_cloudy
test_297,primary clear
test_298,primary partly_cloudy
test_299,primary clear
test_300,cloudy
test_301,primary agriculture clear
test_302,primary clear
test_303,partly_cloudy
test_304,primary agriculture clear
test_305,primary agriculture road
test_306,clear water
test_307,primary clear
test_308,primary partly_cloudy
test_309,primary clear
test_310,primary
test_311,primary clear
test_312,primary clear
test_313,primary clear
test_314,cloudy
test_315,primary partly_cloudy
test_316,cloudy
test_317,primary clear
test_318,primary partly_cloudy
test_319,road partly_cloudy
test_320,primary clear
test_321,primary
test_322,primary clear
test_323,primary
test_324,primary clear
test_325,primary clear
test_326,primary clear
test_327,primary clear
test_328,primary clear
test_329,primary agriculture clear
test_330,primary clear
test_331,haze primary
test_332,primary clear
test_333,primary
test_334,cloudy
test_335,primary partly_cloudy
test_336,primary
test_337,clear road
test_338,road
test_339,primary partly_cloudy
test_340,primary clear road
test_341,primary clear
test_342,cloudy
test_343,primary clear road
test_344,primary clear road
test_345,primary
test_346,primary clear
test_347,water
test_348,water
test_349,primary agriculture clear
test_350,primary clear road
test_351,primary clear
test_352,primary clear
test_353,cloudy
test_354,primary clear
test_355,primary clear
test_356,primary agriculture clear
test_357,primary clear
test_358,haze primary
test_359,primary clear water
test_360,primary agriculture clear
test_361,cloudy
test_362,road
test_363,primary agriculture road
test_364,primary agriculture
test_365,primary clear
test_366,primary agriculture clear
test_367,road
test_368,primary clear
test_369,primary road
test_370,primary clear
test_371,primary clear
test_372,primary agriculture clear road
test_373,cloudy
test_374,primary water
test_375,partly_cloudy
test_376,primary clear
test_377,primary partly_cloudy
test_378,primary partly_cloudy
test_379,haze primary
test_380,primary agriculture
test_381,primary clear
test_382,primary partly_cloudy
test_383,primary clear artisinal_mine
test_384,primary clear
test_385,primary
test_386,primary clear
test_387,primary clear
test_388,primary clear
test_389,primary
test_390,cultivation
test_391,primary clear
test_392,primary partly_cloudy
test_393,primary clear
test_394,primary clear
test_395,primary agriculture cultivation
test_396,primary clear
test_397,primary clear
test_398,primary clear
test_399,primary agriculture clear
test_400,primary clear
test_401,primary agriculture clear
test_402,cloudy
test_403,primary clear
test_404,primary clear
test_405,primary clear
test_406,haze primary
test_407,primary clear
test_408,primary clear
test_409,primary clear
test_410,cloudy
test_411,primary clear
test_412,primary clear
test_413,primary clear
test_414,cloudy
test_415,primary clear
test_416,primary clear
test_417,primary clear
test_418,primary clear
test_419,primary partly_cloudy
test_420,primary clear
test_421,haze
test_422,primary clear
test_423,primary clear
test_424,clear water
test_425,primary clear
test_426,primary agriculture clear
test_427,road selective_logging
test_428,primary agriculture clear
test_429,primary partly_cloudy
test_430,primary agriculture clear cultivation
test_431,primary clear
test_432,primary clear
test_433,primary clear
test_434,primary clear
test_435,primary clear water
test_436,cloudy
test_437,primary clear
test_438,primary clear
test_439,primary clear
test_440,primary partly_cloudy
test_441,primary clear
test_442,primary clear
test_443,agriculture partly_cloudy
test_444,primary agriculture partly_cloudy
test_445,primary clear
test_446,primary
test_447,primary clear
test_448,agriculture cultivation
test_449,haze cloudy
test_450,primary partly_cloudy
test_451,primary agriculture partly_cloudy
test_452,haze primary
test_453,primary clear
test_454,primary clear
test_455,primary clear
test_456,cloudy
test_457,primary agriculture partly_cloudy
test_458,habitation road
test_459,primary clear
test_460,primary clear
test_461,primary agriculture clear
test_462,primary clear
test_463,primary clear
test_464,primary clear
test_465,primary agriculture clear
test_466,primary cultivation
test_467,haze primary
test_468,primary clear
test_469,primary agriculture clear
test_470,primary clear
test_471,primary clear
test_472,primary partly_cloudy
test_473,habitation
test_474,primary
test_475,primary clear
test_476,cloudy
test_477,habitation
test_478,primary clear
test_479,cloudy
test_480,cultivation
test_481,primary clear
test_482,primary clear
test_483,primary partly_cloudy
test_484,primary
test_485,primary clear
test_486,primary clear
test_487,primary partly_cloudy
test_488,primary clear
test_489,primary water
test_490,primary agriculture
test_491,primary agriculture clear
test_492,primary clear
test_493,primary clear water
test_494,primary clear
test_495,primary clear
test_496,primary
test_497,primary clear
test_498,primary clear
test_499,primary clear
test_500,primary clear
test_501,primary clear
test_502,primary clear
test_503,primary agriculture clear
test_504,primary partly_cloudy
test_505,primary agriculture clear
test_506,primary clear
test_507,haze
test_508,water habitation
test_509,primary clear
test_510,artisinal_mine
test_511,primary agriculture clear
test_512,haze
test_513,primary clear
test_514,primary
test_515,primary partly_cloudy
test_516,primary clear
test_517,primary agriculture
test_518,primary bare_ground
test_519,road
test_520,cloudy
test_521,primary partly_cloudy
test_522,primary clear
test_523,primary clear
test_524,haze primary
test_525,primary clear
test_526,agriculture clear road
test_527,primary clear
test_528,road
test_529,primary partly_cloudy
test_530,primary
test_531,water
test_532,primary clear
test_533,primary clear
test_534,primary clear
test_535,primary clear
test_536,primary
test_537,primary partly_cloudy
test_538,primary clear
test_539,primary partly_cloudy
test_540,primary clear water
test_541,primary agriculture clear
test_542,primary clear water
test_543,primary clear
test_544,primary water
test_545,primary clear
test_546,primary clear
test_547,primary clear
test_548,primary partly_cloudy
test_549,primary road
test_550,primary agriculture
test_551,primary agriculture road
test_552,primary clear
test_553,primary clear water
test_554,primary clear
test_555,primary clear
test_556,cloudy
test_557,primary clear
test_558,cloudy
test_559,primary clear
test_560,primary clear
test_561,primary partly_cloudy
test_562,primary agriculture clear
test_563,primary clear
test_564,habitation
test_565,primary partly_cloudy
test_566,primary clear
test_567,primary partly_cloudy
test_568,habitation road
test_569,primary clear
test_570,primary
test_571,primary clear
test_572,primary partly_cloudy
test_573,primary clear
test_574,primary clear
test_575,primary clear
test_576,primary clear
test_577,primary
test_578,haze primary
test_579,primary clear
test_580,primary agriculture clear
test_581,clear cultivation
test_582,primary clear
test_583,primary clear road
test_584,primary clear
test_585,primary clear water
test_586,primary clear road
test_587,primary agriculture clear
test_588,primary clear
test_589,primary partly_cloudy
test_590,primary clear
test_591,primary agriculture clear road
test_592,primary agriculture clear
test_593,primary clear
test_594,primary clear
test_595,water
test_596,primary clear water
test_597,primary clear cultivation
test_598,primary partly_cloudy
test_599,primary clear
test_600,primary clear
test_601,primary agriculture
test_602,cloudy
test_603,primary clear
test_604,primary clear water
test_605,primary partly_cloudy
test_606,agriculture clear road
test_607,primary partly_cloudy
test_608,habitation road
test_609,primary clear
test_610,primary clear
test_611,water
test_612,primary clear
test_613,primary partly_cloudy
test_614,primary clear
test_615,primary clear
test_616,primary clear
test_617,primary clear
test_618,primary clear
test_619,primary clear
test_620,primary agriculture clear
test_621,primary clear
test_622,habitation
test_623,primary clear
test_624,primary clear
test_625,primary clear
test_626,primary clear
test_627,primary clear
test_628,primary clear
test_629,primary clear
test_630,clear road
test_631,haze primary water
test_632,cloudy
test_633,water
test_634,primary clear
test_635,primary clear
test_636,primary clear
test_637,primary clear
test_638,primary clear
test_639,primary clear
test_640,primary clear
test_641,water road
test_642,clear bare_ground
test_643,agriculture
test_644,primary clear
test_645,primary partly_cloudy
test_646,primary partly_cloudy
test_647,primary clear
test_648,primary clear road
test_649,road
test_650,primary clear
test_651,clear water
test_652,primary clear
test_653,primary partly_cloudy
test_654,cloudy
test_655,primary clear
test_656,primary clear
test_657,primary partly_cloudy
test_658,primary clear
test_659,primary clear
test_660,primary clear
test_661,primary clear
test_662,primary agriculture partly_cloudy
test_663,primary
test_664,cloudy
test_665,primary clear
test_666,primary clear
test_667,primary clear
test_668,water
test_669,primary clear
test_670,agriculture partly_cloudy
test_671,agriculture clear road
test_672,primary clear
test_673,primary clear
test_674,primary partly_cloudy
test_675,haze primary
test_676,primary agriculture
test_677,primary
test_678,primary
test_679,cloudy
test_680,cultivation
test_681,primary clear
test_682,primary clear
test_683,primary partly_cloudy
test_684,primary clear
test_685,primary clear
test_686,primary clear
test_687,cloudy
test_688,agriculture clear
test_689,road
test_690,primary clear
test_691,primary cultivation
test_692,haze primary
test_693,primary clear
test_694,primary clear cultivation
test_695,primary agriculture clear
test_696,primary water
test_697,primary partly_cloudy
test_698,primary clear water
test_699,primary agriculture
test_700,cloudy
test_701,primary agriculture clear
test_702,cloudy
test_703,primary clear
test_704,primary clear
test_705,primary clear
test_706,primary clear
test_707,clear water
test_708,primary clear
test_709,cloudy
test_710,primary clear
test_711,primary clear
test_712,primary partly_cloudy
test_713,primary clear
test_714,primary cloudy
test_715,primary partly_cloudy
test_716,primary clear
test_717,primary clear
test_718,primary agriculture
test_719,primary clear
test_720,primary clear water
test_721,primary clear
test_722,primary clear
test_723,water artisinal_mine
test_724,agriculture clear
test_725,habitation
test_726,primary clear
test_727,primary partly_cloudy
test_728,primary clear
test_729,primary agriculture clear
test_730,primary clear cultivation
test_731,primary clear
test_732,primary clear
test_733,primary clear
test_734,primary clear
test_735,primary agriculture clear
test_736,primary agriculture
test_737,primary clear water
test_738,road
test_739,primary clear
test_740,primary clear
test_741,partly_cloudy
test_742,primary clear
test_743,primary clear
test_744,habitation
test_745,primary clear
test_746,primary partly_cloudy
test_747,primary road
test_748,primary clear
test_749,primary partly_cloudy
test_750,agriculture road
test_751,primary clear
test_752,primary partly_cloudy
test_753,primary clear
test_754,cloudy
test_755,haze primary
test_756,clear habitation
test_757,primary clear
test_758,cloudy
test_759,primary partly_cloudy
test_760,primary clear
test_761,primary partly_cloudy
test_762,primary clear
test_763,primary clear
test_764,agriculture
test_765,primary clear
test_766,primary clear
test_767,primary agriculture clear
test_768,primary clear
test_769,haze
test_770,primary clear
test_771,primary agriculture
test_772,primary partly_cloudy
test_773,primary partly_cloudy
test_774,primary
test_775,primary agriculture
test_776,primary clear water
test_777,habitation road
test_778,habitation road
test_779,primary clear
test_780,primary clear
test_781,primary agriculture clear road
test_782,primary clear
test_783,cloudy
test_784,primary agriculture clear
test_785,primary partly_cloudy
test_786,primary
test_787,primary agriculture clear
test_788,cloudy
test_789,primary partly_cloudy
test_790,selective_logging
test_791,primary clear
test_792,primary clear
test_793,primary partly_cloudy
test_794,primary clear
test_795,water
test_796,primary clear
test_797,primary partly_cloudy
