image_name,tags
test_28790,primary clear
test_28791,primary clear
test_28792,primary clear
test_28793,primary clear
test_28794,primary partly_cloudy
test_28795,primary agriculture clear cultivation
test_28796,primary agriculture clear road
test_28797,primary clear
test_28798,primary clear
test_28799,primary clear
test_288,primary clear habitation road
test_2880,primary clear
test_28800,primary clear
test_28801,haze primary
test_28802,primary clear
test_28803,primary clear
test_28804,primary clear
test_28805,primary agriculture clear road cultivation
test_28806,primary partly_cloudy
test_28807,primary clear
file_7603,primary clear water bare_ground
file_7604,primary clear
file_7605,primary agriculture road partly_cloudy
file_7606,primary agriculture clear water
file_7607,primary clear water cloudy
file_7608,primary clear
file_7609,primary partly_cloudy
file_761,primary clear
file_7610,primary agriculture clear
file_7611,primary agriculture clear
file_7612,primary clear
file_7613,primary clear
file_7614,primary
file_7615,primary cloudy
file_7616,primary clear
file_7617,primary clear water artisinal_mine
file_7618,primary clear
file_7619,primary clear
test_4,primary
test_40,primary clear water cloudy
test_400,primary clear
test_4000,primary clear
test_40000,primary agriculture clear water habitation road
test_40001,primary partly_cloudy
test_40002,primary agriculture clear road
test_40003,primary agriculture partly_cloudy
test_40004,primary
test_40005,primary agriculture clear
test_40006,primary clear
test_40007,primary
test_40008,primary clear cultivation
test_40009,primary clear
test_4001,primary clear
test_40010,primary agriculture clear cultivation
test_40011,primary clear
test_40012,primary clear
test_40013,primary clear
test_40014,primary clear
test_40015,primary clear road
file_15863,primary water partly_cloudy
file_15864,primary agriculture road partly_cloudy
file_15865,primary clear
file_15866,primary agriculture clear
file_15867,primary agriculture clear
file_15868,primary agriculture clear cultivation
file_15869,primary clear
file_1587,primary
file_15870,primary clear water
file_15871,primary clear
file_15872,primary clear
file_15873,clear habitation road
file_15874,primary agriculture clear road
file_15875,primary clear
file_15876,primary clear
file_15877,primary agriculture
file_15878,primary clear
file_15879,primary clear water
file_1588,primary agriculture clear cultivation
file_15880,primary clear
file_15881,primary partly_cloudy
file_15882,primary selective_logging
file_15883,primary agriculture clear
file_15884,primary clear habitation road
file_15885,primary clear
file_15886,primary agriculture habitation road
file_15887,primary agriculture clear water road artisinal_mine
file_15888,primary agriculture clear water road
test_19629,primary clear
test_1963,primary clear
test_19630,primary
test_19631,primary agriculture
test_19632,primary clear
test_19633,primary road partly_cloudy
test_19634,haze primary road
test_19635,primary agriculture clear
test_19636,primary clear water
test_19637,primary clear
test_19638,primary clear
test_19639,primary agriculture
test_1964,primary partly_cloudy
test_19640,primary clear
test_19641,primary clear
test_19642,primary partly_cloudy
test_19643,primary clear
test_19644,cloudy
test_19645,primary clear
test_19646,primary clear
test_19647,haze primary clear
test_19648,primary clear
test_19649,primary clear
test_1965,primary agriculture clear
test_19650,primary clear
test_19651,
test_19652,primary clear water
test_19653,primary clear
file_3,primary agriculture clear road
file_30,primary
file_300,primary clear
file_3000,primary partly_cloudy
file_3001,primary agriculture partly_cloudy
file_3002,primary
file_3003,primary agriculture clear road
file_3004,primary partly_cloudy
file_3005,primary agriculture clear bare_ground
file_3006,primary clear
file_3007,cloudy
file_3008,primary clear
file_3009,primary clear
file_301,primary clear
file_3010,primary partly_cloudy
file_3011,primary partly_cloudy
test_325,primary agriculture clear
test_3250,
test_32500,clear
test_32501,primary agriculture habitation road partly_cloudy
test_32502,cloudy
test_32503,haze primary
test_32504,agriculture clear
test_32505,primary clear
test_32506,haze primary clear water
test_32507,primary clear
test_32508,primary clear water road
test_32509,haze primary cloudy
test_3251,primary clear
test_32510,primary clear
test_32511,primary clear
test_32512,primary agriculture partly_cloudy
test_32513,primary clear road
test_32514,primary water partly_cloudy
test_32515,primary clear
test_32516,primary clear
test_7,primary clear habitation road
test_70,primary clear
test_700,cloudy
test_7000,primary partly_cloudy
test_7001,primary agriculture clear water
test_7002,haze primary
test_7003,haze primary clear habitation
test_7004,primary partly_cloudy
test_7005,primary agriculture clear road
